Designator,Mid X,Mid Y,Layer,Rotation
D1,4.0,-23.4,T,90.0
D2,4.0,-13.4,T,90.0
D3,26.0,-23.4,T,270.0
D4,14.9,-4.5,T,0.0
D5,26.0,-13.4,T,270.0
J1,15.04,-26.0,T,0.0
LOGO1,15.16,-3.35,B,180.0
